UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,MALAY,NON MALAY BUMIPUTERA,CHINESE,INDIAN,OTHERS,TOTAL ELECTORS,,MALAY (%),NON MALAY BUMIPUTERA (%),CHINESE (%),INDIAN (%),OTHERS (%)
P.43_N.8,PULAU PINANG,P.43,BAGAN,N.8,BAGAN JERMAL,"5,615",,"13,445","3,588",15,"22,663",_,24.78,0.00,59.33,15.83,0.07
P.43_N.9,PULAU PINANG,P.43,BAGAN,N.9,PERAI,"4,474",,"11,037","6,779",10,"22,300",_,20.06,0.00,49.49,30.40,0.04
P.44_N.10,PULAU PINANG,P.44,PERMATANG PAUH,N.10,SEBERANG JAYA,"11,086",,"3,710","1,806",10,"16,612",_,66.73,0.00,22.33,10.87,0.06
P.44_N.11,PULAU PINANG,P.44,PERMATANG PAUH,N.11,PERMATANG PASIR,"10,285",,"5,320",351,1,"15,957",_,64.45,0.00,33.34,2.20,0.01
P.44_N.12,PULAU PINANG,P.44,PERMATANG PAUH,N.12,PENANTI,"8,450",,"4,002",395,44,"12,891",_,65.55,0.00,31.04,3.06,0.34
P.45_N.13,PULAU PINANG,P.45,BUKIT MERTAJAM,N.13,BERAPIT,781,,"15,416","1,401",2,"17,600",_,4.44,0.00,87.59,7.96,0.01
P.45_N.14,PULAU PINANG,P.45,BUKIT MERTAJAM,N.14,MACHANG BUBUK,"6,839",,"10,972","1,622",10,"19,443",_,35.17,0.00,56.43,8.34,0.05
P.45_N.15,PULAU PINANG,P.45,BUKIT MERTAJAM,N.15,BUKIT TENGAH,"5,757",,"14,123","2,911",10,"22,801",_,25.25,0.00,61.94,12.77,0.04
P.46_N.16,PULAU PINANG,P.46,NIBONG TEBAL,N.16,SUNGAI BAKAP,"7,736",,"5,693","2,066",2,"15,497",_,49.92,0.00,36.74,13.33,0.01
P.46_N.17,PULAU PINANG,P.46,NIBONG TEBAL,N.17,JAWI,"2,609",,"13,744","3,483",1,"19,837",_,13.15,0.00,69.28,17.56,0.01
P.46_N.18,PULAU PINANG,P.46,NIBONG TEBAL,N.18,SUNGAI ACHEH,"6,796",,"3,546","1,455",0,"11,797",_,57.61,0.00,30.06,12.33,0.00
P.47_N.19,PULAU PINANG,P.47,BUKIT BENDERA,N.19,TANJONG BUNGA,"5,153",,"15,220","2,511",356,"23,240",_,22.17,0.00,65.49,10.80,1.53
P.47_N.20,PULAU PINANG,P.47,BUKIT BENDERA,N.20,AIR ITAM,"1,974",,"20,285","1,514",74,"23,847",_,8.28,0.00,85.06,6.35,0.31
P.47_N.21,PULAU PINANG,P.47,BUKIT BENDERA,N.21,KEBUN BUNGA,"3,030",,"14,059","2,847",267,"20,203",_,15.00,0.00,69.59,14.09,1.32
P.48_N.22,PULAU PINANG,P.48,TANJONG,N.22,PADANG KOTA,"1,434",,"15,617","2,963",79,"20,093",_,7.14,0.00,77.72,14.75,0.39
P.48_N.23,PULAU PINANG,P.48,TANJONG,N.23,PENGKALAN KOTA,135,,"20,276",733,14,"21,158",_,0.64,0.00,95.83,3.46,0.07
P.48_N.24,PULAU PINANG,P.48,TANJONG,N.24,KAMPONG KOLAM,"1,724",,"18,676","1,193",30,"21,623",_,7.97,0.00,86.37,5.52,0.14
P.49_N.25,PULAU PINANG,P.49,JELUTONG,N.25,DATOK KERAMAT,"5,818",,"10,936","2,755",46,"19,555",_,29.75,0.00,55.92,14.09,0.24
P.49_N.26,PULAU PINANG,P.49,JELUTONG,N.26,SUNGAI PINANG,"5,901",,"9,483","3,329",36,"18,749",_,31.47,0.00,50.58,17.76,0.19
P.49_N.27,PULAU PINANG,P.49,JELUTONG,N.27,BATU LANCANG,"1,005",,"17,562","1,107",75,"19,749",_,5.09,0.00,88.93,5.61,0.38
P.50_N.28,PULAU PINANG,P.50,BAYAN BARU,N.28,BUKIT GELUGOR,"3,795",,"15,835","2,399",187,"22,216",_,17.08,0.00,71.28,10.80,0.84
P.50_N.29,PULAU PINANG,P.50,BAYAN BARU,N.29,PAYA TERUBONG,"3,961",,"20,589","1,675",44,"26,269",_,15.08,0.00,78.38,6.38,0.17
P.50_N.30,PULAU PINANG,P.50,BAYAN BARU,N.30,BATU UBAN,"10,132",,"10,860","4,534",135,"25,661",_,39.48,0.00,42.32,17.67,0.53
P.51_N.31,PULAU PINANG,P.51,BALIK PULAU,N.31,BAYAN LEPAS,"10,733",,"8,946","1,512",60,"21,251",_,50.51,0.00,42.10,7.11,0.28
P.51_N.32,PULAU PINANG,P.51,BALIK PULAU,N.32,TELOK KUMBAR,"11,250",,"5,734",797,29,"17,810",_,63.17,0.00,32.20,4.48,0.16
P.51_N.33,PULAU PINANG,P.51,BALIK PULAU,N.33,TELOK BAHANG,"9,610",,"6,413",378,24,"16,425",_,58.51,0.00,39.04,2.30,0.15
P.52_N.1,PERAK,P.52,GERIK,N.1,PENGKALAN HULU,"8,449",,"1,975",982,"1,406","12,812",_,65.95,0.00,15.42,7.66,10.97
P.52_N.2,PERAK,P.52,GERIK,N.2,TEMENGOR,"6,739",,"3,306",412,"1,120","11,577",_,58.21,0.00,28.56,3.56,9.67
P.52_N.3,PERAK,P.52,GERIK,N.3,KENERING,"8,386",,"2,294",75,380,"11,135",_,75.31,0.00,20.60,0.67,3.41
P.53_N.4,PERAK,P.53,LARUT,N.4,SELAMA,"14,201",,"1,776",979,1,"16,957",_,83.75,0.00,10.47,5.77,0.01
P.53_N.5,PERAK,P.53,LARUT,N.5,BATU KURAU,"13,932",,"1,272","2,077",47,"17,328",_,80.40,0.00,7.34,11.99,0.27
P.54_N.6,PERAK,P.54,PARIT BUNTAR,N.6,TITI SERONG,"15,454",,"3,785","1,498",2,"20,739",_,74.52,0.00,18.25,7.22,0.01
P.54_N.7,PERAK,P.54,PARIT BUNTAR,N.7,KUALA KURAU,"11,733",,"8,001",395,1,"20,130",_,58.29,0.00,39.75,1.96,0.00
P.55_N.8,PERAK,P.55,BAGAN SERAI,N.8,ALOR PONGSU,"11,014",,"3,519","3,547",21,"18,101",_,60.85,0.00,19.44,19.60,0.12
