State,Parliamentary Code,Parliamentary Seat Name,DUN Code,DUN Name,Total Number of Electors (March 1967),Boundary Alteration,Name Alteration
NEGERI SEMBILAN,P.82,JELEBU-JEMPOL,N.2,PERTANG,4987,YES,
NEGERI SEMBILAN,P.82,JELEBU-JEMPOL,N.3,BAHAU,6675,NO,
NEGERI SEMBILAN,P.82,JELEBU-JEMPOL,N.4,JEMPOL,5021,NO,
NEGERI SEMBILAN,P.82,JELEBU-JEMPOL,N.5,ROMPIN,4457,NO,
NEGERI SEMBILAN,P.83,SEREMBAN,N.6,LENGGENG,8296,NO,
NEGERI SEMBILAN,P.83,SEREMBAN,N.7,LOBAK-TEMIANG,8444,YES,
NEGERI SEMBILAN,P.83,SEREMBAN,N.8,SUNGAI UJONG,8021,YES,
NEGERI SEMBILAN,P.83,SEREMBAN,N.9,LIMBOK,8201,YES,
NEGERI SEMBILAN,P.83,SEREMBAN,N.10,RASAH,8226,YES,
NEGERI SEMBILAN,P.84,KUALA PILAH,N.11,TANJONG IPOH,4458,YES,
NEGERI SEMBILAN,P.84,KUALA PILAH,N.12,SERI MENANTI,5289,YES,
NEGERI SEMBILAN,P.84,KUALA PILAH,N.13,BANDAR PILAH,6659,YES,
NEGERI SEMBILAN,P.84,KUALA PILAH,N.14,ULU MUAR,6063,YES,
NEGERI SEMBILAN,P.84,KUALA PILAH,N.15,JOHOL,4639,YES,
NEGERI SEMBILAN,P.85,PORT DICKSON,N.16,LABU,6708,YES,
NEGERI SEMBILAN,P.85,PORT DICKSON,N.17,JIMAH,7143,YES,
NEGERI SEMBILAN,P.85,PORT DICKSON,N.18,RANTAU,8116,YES,
NEGERI SEMBILAN,P.85,PORT DICKSON,N.19,SI-RUSA,8229,YES,
NEGERI SEMBILAN,P.85,PORT DICKSON,N.20,LINGGI,6314,YES,
NEGERI SEMBILAN,P.86,REMBAU-TAMPIN,N.21,REMBAU,4488,YES,
NEGERI SEMBILAN,P.86,REMBAU-TAMPIN,N.22,CHENGKAU,4593,YES,
NEGERI SEMBILAN,P.86,REMBAU-TAMPIN,N.23,KOTA,4730,YES,
NEGERI SEMBILAN,P.86,REMBAU-TAMPIN,N.24,TAMPIN,7142,NO,
NEGERI SEMBILAN,P.86,REMBAU-TAMPIN,N.25,GEMAS,5402,NO,
MELAKA,P.87,ALOR GAJAH,N.1,RAMUAN CHINA,6826,YES,
MELAKA,P.87,ALOR GAJAH,N.2,TABOH NANING,6901,YES,
MELAKA,P.87,ALOR GAJAH,N.3,MASJID TANAH,7228,YES,
MELAKA,P.87,ALOR GAJAH,N.4,KELEMAK,8073,YES,
MELAKA,P.87,ALOR GAJAH,N.5,MACHAP,7471,YES,
MELAKA,P.88,MELAKA LUAR,N.6,TANJONG KELING,6188,NO,
MELAKA,P.88,MELAKA LUAR,N.7,BUKIT RAMBAI,6089,NO,
MELAKA,P.88,MELAKA LUAR,N.8,TANJONG MINYAK,5281,YES,
MELAKA,P.88,MELAKA LUAR,N.9,AYER KEROH,6328,YES,
MELAKA,P.88,MELAKA LUAR,N.10,BUKIT LINTANG,6020,YES,
MELAKA,P.89,KOTA MELAKA,N.11,TENGKERAH,7340,YES,
MELAKA,P.89,KOTA MELAKA,N.12,PERINGGIT,7484,YES,
MELAKA,P.89,KOTA MELAKA,N.13,KUBU,8737,YES,
MELAKA,P.89,KOTA MELAKA,N.14,BUKIT CHINA,8544,YES,
MELAKA,P.89,KOTA MELAKA,N.15,HUJONG PASIR,7677,YES,
MELAKA,P.90,JASIN,N.16,BATANG MELAKA,5045,YES,
MELAKA,P.90,JASIN,N.17,NYALAS,5767,YES,
MELAKA,P.90,JASIN,N.18,AYER PANAS,6366,YES,
MELAKA,P.90,JASIN,N.19,SERKAM,5651,NO,
MELAKA,P.90,JASIN,N.20,SUNGAI RAMBAI,5648,NO,
JOHOR,P.91,SEGAMAT,N.1,BATU ENAM,11186,YES,
JOHOR,P.91,SEGAMAT,N.2,BANDAR SEGAMAT,15890,YES,
JOHOR,P.92,BEKOK,N.3,LABIS,14320,YES,
JOHOR,P.92,BEKOK,N.4,KELUANG,15405,YES,
JOHOR,P.93,GUNONG LEDANG,N.5,TANGKAK,14393,YES,
JOHOR,P.93,GUNONG LEDANG,N.6,SEROM,13003,YES,
JOHOR,P.94,PAGOH,N.7,LENGA,9844,YES,
JOHOR,P.94,PAGOH,N.8,JORAK,12270,YES,
JOHOR,P.95,MUAR,N.9,BANDAR MAHARANI,18777,YES,
JOHOR,P.95,MUAR,N.10,PARIT BAKAR,16715,YES,
JOHOR,P.96,SEMERAH,N.11,PARIT JAWA,12999,YES,
JOHOR,P.96,SEMERAH,N.12,PESERAI,13799,YES,
JOHOR,P.97,YONG PENG,N.13,PARIT SULONG,12708,YES,
JOHOR,P.97,YONG PENG,N.14,TANJONG SEMBERONG,14809,YES,
JOHOR,P.98,BATU PAHAT,N.15,BANDAR PENGGARAM,17482,YES,
JOHOR,P.98,BATU PAHAT,N.16,SENGGARANG,16346,YES,
JOHOR,P.99,ENDAU,N.17,KAHANG,11649,YES,
JOHOR,P.99,ENDAU,N.18,MERSING,12400,YES,
JOHOR,P.100,BENUT,N.19,RENGIT,12431,YES,
JOHOR,P.100,BENUT,N.20,AYER BALOI,14294,YES,
JOHOR,P.101,PONTIAN,N.21,PONTIAN KECHIL,15413,YES,
JOHOR,P.101,PONTIAN,N.22,KUKUP,12116,YES,
JOHOR,P.102,KULAI,N.23,RENGAM,11969,YES,
JOHOR,P.102,KULAI,N.24,SEDENAK,16921,YES,
JOHOR,P.103,PANTI,N.25,KOTA TINGGI,13564,YES,
JOHOR,P.103,PANTI,N.26,TIRAM,13259,YES,
JOHOR,P.104,JOHOR BAHRU,N.27,PULAI,17821,YES,
JOHOR,P.104,JOHOR BAHRU,N.28,TANJONG PUTERI,18633,YES,
